326;"GORGONZOLA";19,40;0,10;31,20;87,00;0,00;359,00
327;"GORGONZOLA CON LE NOCI";19,30;0,40;32,50;84,00;0,30;371,00
328;"GOUDA FRESCO";23,00;-2,00;28,00;100,00;0,00;344,00
329;"GOUDA STAGIONATO";25,00;-2,00;29,00;100,00;0,00;361,00
330;"GRANA";35,50;3,70;25,00;85,00;0,00;381,00
331;"GRANCHIO";18,10;-2,00;1,10;78,00;0,00;87,00
332;"GRANCHIO, POLPA IN SCATOLA";18,10;-2,00;0,50;72,00;0,00;77,00
333;"GRANITA DI LIMONE";-2,00;28,40;0,00;0,00;0,00;106,00
334;"GRANITO DI TENERO";9,20;82,30;1,00;0,00;2,50;354,00
335;"GRAPPA";-2,00;-2,00;0,00;0,00;0,00;235,00
336;"GRISSINI";12,30;69,00;13,90;6,00;3,50;433,00
337;"GRISSINI INTEGRALI";8,80;58,10;17,20;0,00;10,50;443,00
338;"GROVIERA";30,60;1,50;29,00;87,00;0,00;388,00
339;"HALIBUT";20,80;0,00;2,30;32,00;0,00;110,00
340;"INDIVIA";0,90;2,70;0,30;0,00;1,60;16,00
341;"INSALATA DI RISO";5,90;16,10;11,50;34,00;1,30;187,00
342;"IRISH MOSS, fresca";1,50;-2,00;0,20;0,00;12,30;8,00
343;"ITALICO (tipo Bel Paese)";25,40;0,10;30,20;90,00;0,00;374,00
344;"KAKI O LOTI";0,60;16,00;0,30;0,00;2,50;65,00
345;"KIWI";1,20;9,00;0,60;0,00;2,60;44,00
346;"KOMBU, secca";7,10;-2,00;1,60;0,00;58,70;43,00
